"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"552","Ealing, London","532","Ealing, 00AJ (532)","3/1/2020 - 3/31/2020, Every day, Daily Average",912,691,1202
"552","Ealing, London","533","Ealing, 00AJ (533)","3/1/2020 - 3/31/2020, Every day, Daily Average",799,574,1111
"552","Ealing, London","534","Ealing, 00AJ (534)","3/1/2020 - 3/31/2020, Every day, Daily Average",843,576,1232
"552","Ealing, London","535","Ealing, 00AJ (535)","3/1/2020 - 3/31/2020, Every day, Daily Average",812,613,1074
"552","Ealing, London","536","Ealing, 00AJ (536)","3/1/2020 - 3/31/2020, Every day, Daily Average",616,444,853
"552","Ealing, London","537","Ealing, 00AJ (537)","3/1/2020 - 3/31/2020, Every day, Daily Average",548,382,785
"552","Ealing, London","538","Ealing, 00AJ (538)","3/1/2020 - 3/31/2020, Every day, Daily Average",474,311,720
"552","Ealing, London","539","Ealing, 00AJ (539)","3/1/2020 - 3/31/2020, Every day, Daily Average",731,546,977
"552","Ealing, London","540","Ealing, 00AJ (540)","3/1/2020 - 3/31/2020, Every day, Daily Average",898,671,1201
"552","Ealing, London","541","Ealing, 00AJ (541)","3/1/2020 - 3/31/2020, Every day, Daily Average",654,480,890
"552","Ealing, London","542","Ealing, 00AJ (542)","3/1/2020 - 3/31/2020, Every day, Daily Average",248,141,433
"552","Ealing, London","543","Ealing, 00AJ (543)","3/1/2020 - 3/31/2020, Every day, Daily Average",611,442,844
"552","Ealing, London","544","Ealing, 00AJ (544)","3/1/2020 - 3/31/2020, Every day, Daily Average",270,104,694
"552","Ealing, London","545","Ealing, 00AJ (545)","3/1/2020 - 3/31/2020, Every day, Daily Average",800,596,1072
"552","Ealing, London","546","Ealing, 00AJ (546)","3/1/2020 - 3/31/2020, Every day, Daily Average",511,324,805
"552","Ealing, London","547","Ealing, 00AJ (547)","3/1/2020 - 3/31/2020, Every day, Daily Average",479,352,651
"552","Ealing, London","548","Ealing, 00AJ (548)","3/1/2020 - 3/31/2020, Every day, Daily Average",1002,745,1346
