"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"573","Camden, 00AG (573)","116","Enfield, 00AK (116)","3/1/2020 - 3/31/2020, Every day, Daily Average",2390,1903,3001
"573","Camden, 00AG (573)","117","Enfield, 00AK (117)","3/1/2020 - 3/31/2020, Every day, Daily Average",2607,2080,3267
"573","Camden, 00AG (573)","118","Enfield, 00AK (118)","3/1/2020 - 3/31/2020, Every day, Daily Average",2381,1909,2968
"573","Camden, 00AG (573)","119","Enfield, 00AK (119)","3/1/2020 - 3/31/2020, Every day, Daily Average",2388,1884,3026
"573","Camden, 00AG (573)","120","Enfield, 00AK (120)","3/1/2020 - 3/31/2020, Every day, Daily Average",2334,1837,2964
"573","Camden, 00AG (573)","121","Enfield, 00AK (121)","3/1/2020 - 3/31/2020, Every day, Daily Average",2556,1985,3290
"573","Camden, 00AG (573)","122","Enfield, 00AK (122)","3/1/2020 - 3/31/2020, Every day, Daily Average",2493,1834,3388
"573","Camden, 00AG (573)","123","Enfield, 00AK (123)","3/1/2020 - 3/31/2020, Every day, Daily Average",2511,1923,3278
"573","Camden, 00AG (573)","124","Enfield, 00AK (124)","3/1/2020 - 3/31/2020, Every day, Daily Average",2491,1882,3296
"573","Camden, 00AG (573)","125","Enfield, 00AK (125)","3/1/2020 - 3/31/2020, Every day, Daily Average",2269,1756,2931
"573","Camden, 00AG (573)","126","Enfield, 00AK (126)","3/1/2020 - 3/31/2020, Every day, Daily Average",2437,1856,3198
"573","Camden, 00AG (573)","128","Enfield, 00AK (128)","3/1/2020 - 3/31/2020, Every day, Daily Average",2461,1804,3356
"573","Camden, 00AG (573)","129","Enfield, 00AK (129)","3/1/2020 - 3/31/2020, Every day, Daily Average",2363,1778,3138
"573","Camden, 00AG (573)","130","Enfield, 00AK (130)","3/1/2020 - 3/31/2020, Every day, Daily Average",2218,1703,2887
"573","Camden, 00AG (573)","131","Enfield, 00AK (131)","3/1/2020 - 3/31/2020, Every day, Daily Average",2557,1892,3454
"573","Camden, 00AG (573)","132","Enfield, 00AK (132)","3/1/2020 - 3/31/2020, Every day, Daily Average",2323,1716,3143
"573","Camden, 00AG (573)","133","Enfield, 00AK (133)","3/1/2020 - 3/31/2020, Every day, Daily Average",2222,1666,2962
"573","Camden, 00AG (573)","134","Enfield, 00AK (134)","3/1/2020 - 3/31/2020, Every day, Daily Average",2516,1842,3436
"573","Camden, 00AG (573)","135","Enfield, 00AK (135)","3/1/2020 - 3/31/2020, Every day, Daily Average",2253,1697,2991
"573","Camden, 00AG (573)","136","Enfield, 00AK (136)","3/1/2020 - 3/31/2020, Every day, Daily Average",2131,1583,2868
"573","Camden, 00AG (573)","137","Enfield, 00AK (137)","3/1/2020 - 3/31/2020, Every day, Daily Average",2402,1751,3293
"573","Camden, 00AG (573)","138","Enfield, 00AK (138)","3/1/2020 - 3/31/2020, Every day, Daily Average",2139,1608,2844
"573","Camden, 00AG (573)","139","Enfield, 00AK (139)","3/1/2020 - 3/31/2020, Every day, Daily Average",2112,1593,2798
"573","Camden, 00AG (573)","140","Enfield, 00AK (140)","3/1/2020 - 3/31/2020, Every day, Daily Average",2142,1609,2851
"573","Camden, 00AG (573)","141","Greenwich, 00AL (141)","3/1/2020 - 3/31/2020, Every day, Daily Average",2919,2210,3854
"573","Camden, 00AG (573)","142","Greenwich, 00AL (142)","3/1/2020 - 3/31/2020, Every day, Daily Average",2485,1901,3247
"573","Camden, 00AG (573)","143","Greenwich, 00AL (143)","3/1/2020 - 3/31/2020, Every day, Daily Average",2863,2225,3683
"573","Camden, 00AG (573)","144","Greenwich, 00AL (144)","3/1/2020 - 3/31/2020, Every day, Daily Average",2575,2002,3310
"573","Camden, 00AG (573)","145","Greenwich, 00AL (145)","3/1/2020 - 3/31/2020, Every day, Daily Average",2682,2122,3389
"573","Camden, 00AG (573)","146","Hackney, 00AM (146)","3/1/2020 - 3/31/2020, Every day, Daily Average",1650,1224,2223
"573","Camden, 00AG (573)","147","Hackney, 00AM (147)","3/1/2020 - 3/31/2020, Every day, Daily Average",1311,987,1740
"573","Camden, 00AG (573)","148","Hackney, 00AM (148)","3/1/2020 - 3/31/2020, Every day, Daily Average",1562,1195,2040
"573","Camden, 00AG (573)","149","Hackney, 00AM (149)","3/1/2020 - 3/31/2020, Every day, Daily Average",1571,1161,2125
"573","Camden, 00AG (573)","150","Hackney, 00AM (150)","3/1/2020 - 3/31/2020, Every day, Daily Average",1637,1230,2177
"573","Camden, 00AG (573)","151","Hackney, 00AM (151)","3/1/2020 - 3/31/2020, Every day, Daily Average",1470,1116,1935
"573","Camden, 00AG (573)","152","Hackney, 00AM (152)","3/1/2020 - 3/31/2020, Every day, Daily Average",1180,874,1591
"573","Camden, 00AG (573)","153","Hackney, 00AM (153)","3/1/2020 - 3/31/2020, Every day, Daily Average",1641,1221,2204
"573","Camden, 00AG (573)","154","Hackney, 00AM (154)","3/1/2020 - 3/31/2020, Every day, Daily Average",1463,1103,1940
"573","Camden, 00AG (573)","155","Hackney, 00AM (155)","3/1/2020 - 3/31/2020, Every day, Daily Average",1154,841,1581
